section_count_before,section_count_after,angle_max,section_max1_value,section_max2_value,section_max3_value,section_max4_value,section_max5_value,section_average_value,section_median_value,square,time,time_median,time_average,condition
11,6,35.92850242282283,33.1058907144937,22.67156809750927,22.135943621178654,17.46424919657298,10.295630140987,19.3281519852881,19.800096408875817,9.749539334829072,337.1776,51.0079,56.196266666666666,1
42,13,19.052907074025253,194.3707796969493,80.65358020571685,55.072679252057455,51.884487084291386,39.408120990476064,41.359849378569656,14.212670403551895,10.202128528870695,632.3477999999999,35.99950000000001,48.64213846153845,1
35,9,77.64464013491647,258.11818998280614,245.20399670478457,46.010868281309364,21.095023109728988,10.44030650891055,67.69319276140057,10.44030650891055,15.91016557540274,667.5335,46.17990000000009,74.1703888888889,1
31,15,71.98384336021311,87.02298546935747,38.948684188300895,33.95585369269929,27.202941017470888,26.248809496813376,24.93919345107908,22.825424421026653,48.32432403514602,755.4947000000002,24.02489999999989,50.366313333333345,1
94,22,36.587654709573165,238.30442715149042,238.2540660723338,168.90825912311098,117.51595636338071,83.24061508662703,59.157610794606256,28.044429797390524,193.0240755953318,1019.2839000000004,33.98959999999943,46.33108636363638,1
3,2,7.43140797117249,23.194827009486403,4.0,0.0,0.0,0.0,13.597413504743201,13.597413504743201,0.49694186733680945,186.20800000000054,93.10400000000027,93.10400000000027,1
10,3,9.926245506651705,81.21576201698781,13.152946437965905,11.0,0.0,0.0,35.122902818317904,13.152946437965905,2.68305319431861,370.16020000000026,88.10720000000038,123.38673333333342,1
83,13,95.79279649503216,800.7877371688455,215.00232556881798,129.07362240210043,89.47066558375433,85.0,119.52593387496634,60.41522986797286,86.7811636445197,1113.6788000000006,31.999899999999798,85.66760000000005,1
57,15,58.10920819815429,1038.4801394345488,129.00387591076478,70.03570517957252,25.632011235952593,23.259406699226016,91.74170949109453,10.63014581273465,54.4393709087563,617.5903999999991,32.97999999999956,41.17269333333328,1
72,14,72.328949638008,733.2728005319711,413.6520276754364,324.0385779502188,58.008620049092706,45.5411901469428,123.81972818810925,26.308416313550975,84.3000149030291,759.7361999999994,39.50014999999985,54.266871428571385,1
8,6,23.537114075280208,17.029386365926403,15.0,11.704699910719626,11.180339887498949,11.0,12.725788778842587,11.442519899109287,9.64811645507674,389.0491999999995,52.04515000000083,64.84153333333325,1
55,10,50.1944289077348,227.86399452304877,140.29255147726127,62.289646009589745,62.03224967708329,49.678969393496885,67.65853209279666,47.83948469674844,57.180805353021654,732.8256999999994,32.00115000000005,73.28256999999994,1
65,14,83.73251859515071,254.5937941113255,118.10588469674151,99.72462083156798,95.524865872714,73.7360156233031,65.02994422178323,55.392387957221324,50.47915220137975,988.4799999999996,44.06915000000026,70.60571428571426,1
44,11,18.01370880631043,129.72663566130126,114.38968484964018,104.7377677822093,97.41663102366043,79.02531240052139,62.68824520734643,64.4980619863884,46.21635254098651,608.6203000000005,16.113799999999173,55.329118181818224,1
71,14,49.630931966969584,495.66319209721433,172.6267650163207,79.05694150420949,35.73513677041127,26.419689627245813,67.51718713168171,21.5,93.55788233532948,1081.821,33.568600000000515,77.27292857142857,1
74,11,16.41209772637841,729.3627355438445,292.965868319161,111.01801655587259,107.2240644631605,84.21995013059554,137.9432255464405,72.44998274671983,150.11898464163767,838.1643000000004,81.01320000000123,76.19675454545458,1
76,16,46.08776384038409,393.3675126392621,200.35218990567586,95.63472172804185,63.071388124885914,52.172789842982326,63.969744625066745,30.654229139304576,49.39556038230436,712.8397000000004,32.91679999999906,44.55248125000003,1
19,7,41.633539336570195,77.00649323271382,63.50590523722971,49.72926703662542,18.027756377319946,11.180339887498949,34.31715591223669,18.027756377319946,22.60255178806036,806.0540999999976,55.00149999999849,115.15058571428537,1
14,4,95.1749339171591,103.4456378974,26.476404589747453,10.816653826391969,10.04987562112089,0.0,37.697142983665074,18.646529208069712,16.422466911937196,1336.0112999999983,144.33224999999948,334.0028249999996,1
41,13,29.98163936884934,130.49521064008442,111.13955191559843,67.20119046564577,51.78802950489621,50.00999900019995,43.16399234701213,32.89376840679705,73.65596392444647,487.8945999999996,19.01270000000295,37.530353846153815,1
34,9,173.1588304479143,380.69541631072997,22.360679774997898,22.360679774997898,21.02379604162864,20.396078054371138,56.69309640241383,20.396078054371138,13.25974487086749,818.9223999999995,67.10220000000118,90.99137777777771,1
25,8,15.422161318738677,84.07734534343957,78.00640999302557,52.08646657242167,37.107950630558946,14.7648230602334,36.92131373159298,25.93638684539617,19.18400586472974,374.7966000000015,32.507549999998446,46.849575000000186,1
77,13,30.827662299868035,520.6495942570205,499.001002003002,195.93111034238538,91.6624241442479,41.43669871020132,116.63408713293727,31.575306807693888,36.42053521887633,743.3403999999973,51.99959999999919,57.18003076923056,1
62,17,73.30075576600638,428.72951846123215,96.1041102138717,91.92388155425118,35.35533905932738,33.0,49.26750044964265,14.317821063276353,67.59913799694291,877.7537000000011,40.00109999999768,51.63257058823536,1
15,11,39.21760767763597,22.847319317591726,22.02271554554524,21.213203435596427,14.212670403551895,12.041594578792296,14.109870752280369,11.40175425099138,24.458679331558592,685.9315999999999,52.0154999999977,62.35741818181817,1
25,13,45.0,119.03780911962384,31.38470965295043,21.18962010041709,12.36931687685298,11.180339887498949,21.127746099946513,10.816653826391969,26.28309822407697,1001.3725999999988,59.10729999999967,77.02866153846145,1
69,4,113.68208772453845,928.2375773475237,34.52535300326414,10.816653826391969,9.848857801796104,0.0,245.857110494744,22.671003414828053,18.315615405796656,853.8624999999993,222.63585000000057,213.46562499999982,1
9,6,31.42956561483852,21.095023109728988,20.8806130178211,20.223748416156685,10.198039027185569,3.1622776601683795,12.759950205176787,15.210893721671127,5.698180807479821,1014.236699999994,138.4387999999999,169.039449999999,1
70,15,26.56505117707799,275.68822970885066,248.94376875109768,114.73883387938018,59.941638282582836,33.24154027718932,60.56294544737353,22.80350850198276,47.257004407153225,675.690499999997,32.979999999995925,45.046033333333135,1
94,18,33.6900675259798,260.0173071162764,219.61101975993827,209.49701668520245,167.6007159889241,144.8481963988506,70.94095375143682,19.143236271630354,119.59990500492408,810.1891000000032,38.48784999999771,45.01050555555574,1
79,10,12.453757142682942,525.0295229794226,288.88232898535,134.23859355639868,84.17244204607586,61.741396161732524,122.20604381079625,55.860696080065864,83.08631423472488,569.509100000003,39.18630000000121,56.95091000000029,1
15,5,13.9673231569257,75.02666192761077,58.180752831155424,18.439088914585774,12.206555615733702,8.06225774829855,34.38306340747684,18.439088914585774,2.0924098460610554,294.4760000000024,45.01770000000397,58.89520000000048,1
52,10,39.6106882400266,961.1295438181057,157.01273833673497,25.317977802344327,17.0,12.649110640673518,121.63346995746159,11.732882233532743,26.40237045664162,582.9856999999975,34.07159999999931,58.29856999999974,1
111,21,180.0,446.135629601582,333.2101439032131,263.9109698364204,143.17122615944868,129.00387591076478,79.00014682379343,14.317821063276353,79.07017594646281,2227.9207000000024,28.010600000001432,106.09146190476201,1
64,14,148.26529017978189,310.1032086257735,176.8219443394965,131.5750736271882,50.53711507397311,49.193495504995376,63.32228134472528,31.512856931965267,155.74717178720215,1749.9644000000044,28.50355000000127,124.99745714285746,1
70,11,65.41367048366382,1217.1910285571448,76.32168761236873,36.6742416417845,22.0,21.93171219946131,131.0674494932631,21.18962010041709,35.0677216179292,900.8078999999998,53.99539999999979,81.89162727272725,1
57,16,162.50644640009918,111.83022847155415,99.02019995940222,95.70788891204319,90.87353850269065,68.59300255857006,45.83782558009478,28.877539942897315,55.22741219470813,940.9393999999957,43.50210000000152,58.80871249999973,1
36,14,27.255328374943065,249.45139807184887,79.42921376924235,64.03124237432849,46.61544808322666,45.31004303683677,42.882039393269714,12.062320276193434,51.458945238146974,511.97849999999744,21.99605000000156,36.569892857142676,1
137,26,83.56526084896329,562.1681243186953,443.3565156846124,361.1204785109812,312.0256399721023,234.64867355261143,97.59199538307192,23.224083380001808,275.48453763226075,2422.721899999997,45.50510000000213,93.18161153846141,1
74,19,23.344010961577496,439.1924407364043,232.7767170487633,80.36168241145776,55.94640292279746,49.72926703662542,60.55655862943966,31.622776601683793,73.218754401926,1602.5809000000008,48.111400000001595,84.34636315789479,1
